1,(+1) 310 363 6000
2,(+608) 225 3173
3,(+44) 3031231113
4,(+1) 844 437 2797
5,(+358) 29 442 9280
6,(+45) 99 40 99 40
7,(+301) 605 7629
8,(+972) 4 829 30 20 / (+972) 3 9353111
9,(+1) 703 808 5050
10,1 800 525 0102
11,202 282 8000
12,(+31) 0 71 565 6208 / (+33) 1 53 69 76 54
13,310 336 5000
14,(+33) 153984747
15,(+210) 639 5705
16,(+1) 757 727 5000
17,(+47) 33034808
18,(+34) 935481193
19,(+971) 2 510 0000
20,(+213) 23 27 05 31
21,(+81) 0 3 3248 1630
22,(+55) 61 3107 3300
23,(+7) 727 377 3330
24,(+352) 710 725 1
25,(+7) 495 939 10 00
26,(+972) 03 7551000
27,info@amsat.org
28,042 822 4271
29,(+1) 617 353 2000
30,33 (0)1 44 76 75 00 / 33 (0)1 44 76 76 79
31,(+1) 613 748 0123 / (+1) 571 559 1500
32,NULL
33,5196224445
34,(+852) 2600 2100
35,(+ 966) 11 482 0000 / (+ 966) 11 488 7999
36,(+1) 813 974 2011 / (+1) 813 396 9751
37,(+47) 915 03 003 / (+47) 63 80 71 30
38,(+81) 3 3409 0135
39,0484 2424878 / 0484 2424858
40,425 336 2448
41,(+1) 800 229 5678 / tsl.director@utexas.edu
42,0348 447 8000
43,bonjour@aerospacelab.be
44,(+90) 212 285 30 30
45,(+852) 2600 9295 / (+852) 2504 3871
46,NULL
47,(+81) 3 6435 6904
48,(+81) 47 478 0208
49,415 854 0586
50,info@astrocast.com
51,(+91) 80 22172294 / (+91) 80 22172296
52,855 383 6121
53,NULL
54,(+65) 6779 2693
55,(+994) 123100055
56,NULL
57,NULL
58,NULL
59,NULL
60,NULL
61,NULL
62,NULL
63,(+65) 6351 1399
64,NULL
65,NULL
66,NULL
67,NULL
68,NULL
69,NULL
70,NULL
71,NULL
72,NULL
73,NULL
74,NULL
75,NULL
76,NULL
77,NULL
78,NULL
79,NULL
80,NULL
81,NULL
82,NULL
83,NULL
84,NULL
85,NULL
86,NULL
87,NULL
88,NULL
89,NULL
90,NULL
91,NULL
92,NULL
93,NULL
94,(+81) 3 6910 4111
95,NULL
96,NULL
97,NULL
98,NULL
99,NULL
100,NULL
101,NULL
102,NULL
103,NULL
104,NULL
105,NULL
106,NULL
107,NULL
108,NULL
109,NULL
110,NULL
111,NULL
112,NULL
113,NULL
114,NULL
115,NULL
116,NULL
117,NULL
118,NULL
119,NULL
120,NULL
121,NULL
122,(+1) 208 687 8002
123,NULL
124,NULL
125,NULL
126,NULL
127,NULL
128,NULL
129,(+41) 32 471 0170
130,NULL
131,NULL
132,(+971) 4 6071200 / (+971) 4 2893600
133,NULL
134,NULL
135,NULL
136,NULL
137,NULL
138,NULL
139,NULL
140,NULL
141,NULL
142,NULL
143,NULL
144,NULL
145,NULL
146,NULL
147,NULL
148,NULL
149,NULL
150,NULL
151,NULL
152,NULL
153,NULL
154,NULL
155,NULL
156,NULL
157,NULL
158,NULL
159,NULL
160,NULL
161,NULL
162,NULL
163,NULL
164,NULL
165,NULL
166,NULL
167,NULL
168,NULL
169,NULL
170,NULL
171,NULL
172,NULL
173,NULL
174,NULL
175,NULL
176,NULL
177,NULL
178,NULL
179,NULL
180,NULL
181,NULL
182,NULL
183,NULL
184,NULL
185,NULL
186,NULL
187,NULL
188,NULL
189,NULL
190,NULL
191,NULL
192,NULL
193,NULL
194,NULL
195,NULL
196,NULL
197,NULL
198,NULL
199,NULL
